Event Type,Organization Name,Facility Name,Direction,City,County,State,Create Time,Close Time,Event Description,Responding Organization Id,Latitude,Longitude
accident,New York State Department of Transportation Region 3,I-690,Westbound,before Geddes,Onondaga,NY,2019-09-30 16:20:20,09/30/2019 05:17:24 PM,Accident on I-690 westbound before Exit 7 - ROUTE 297; Solvay-Fairgrounds (Geddes) left lane closed,New York State Department of Transportation Region 3,43.0764,-76.214302
accident,New York State Department of Transportation Region 3,I-81,Southbound,before Syracuse,Onondaga,NY,2019-09-30 15:29:18,09/30/2019 03:58:14 PM,Accident on I-81 southbound before Exit 17 - South Salina Street; Brighton Avenue; State Street (Syracuse) right lane closed,New York State Department of Transportation Region 3,43.02,-76.140296
accident,New York State Department of Transportation Region 3,I-690,Eastbound,before Syracuse,Onondaga,NY,2019-09-30 08:28:23,09/30/2019 08:35:17 AM,Accident on I-690 eastbound before Exit 8 - Hiawatha Boulevard (Syracuse) left lane closed,New York State Department of Transportation Region 3,43.059398,-76.185501
accident,New York State Thruway-State Wide Operations Center - Albany,I-90 - NYS Thruway,Westbound,between Van Buren,Onondaga,NY,2019-09-28 21:40:21,09/28/2019 11:04:16 PM,"Accident on I-90 - NYS Thruway westbound between Exit 39 (I-90) - State Fair (I-690) and Exit 40 (I-90) - Weedsport (Rte 34) starting 9:38 PM, 09/28/2019 until further notice. [CARS CAD-192710454]",New York State Thruway-State Wide Operations Center - Albany,43.069911,-76.522948
incident,New York State Department of Transportation Region 3,I-81,Northbound,at La Fayette,Onondaga,NY,2019-09-27 14:00:27,09/27/2019 02:34:24 PM,Accident on I-81 northbound at Exit 15 - US 11; US 20; LaFayette (La Fayette) all lanes closed,New York State Department of Transportation Region 3,42.894401,-76.110603
disabled vehicle,New York State Department of Transportation Region 3,I-81,Northbound,before Syracuse,Onondaga,NY,2019-09-27 10:32:24,09/27/2019 10:41:23 AM,Disabled vehicle on I-81 northbound before I-690 East (Syracuse) right lane closed,New York State Department of Transportation Region 3,43.049198,-76.142601
accident,New York State Department of Transportation Region 3,I-481,Northbound,at Cicero,Onondaga,NY,2019-09-26 14:33:21,09/26/2019 02:34:24 PM,Accident on I-481 northbound at Exit 9N; I-81 N (Cicero) right lane closed,New York State Department of Transportation Region 3,43.140598,-76.103401
accident,New York State Department of Transportation Region 3,I-690,Eastbound,before Syracuse,Onondaga,NY,2019-09-26 07:31:21,09/26/2019 08:23:19 AM,Accident on I-690 eastbound before Exit 14 - Teall Avenue (Syracuse) right lane closed,New York State Department of Transportation Region 3,43.052101,-76.125801
accident,New York State Thruway-State Wide Operations Center - Albany,I-90 - NYS Thruway,Westbound,between Van Buren,Onondaga,NY,2019-09-25 17:34:20,09/25/2019 06:43:15 PM,"Accident on I-90 - NYS Thruway westbound between Exit 39 (I-90) - State Fair (I-690) and Exit 40 (I-90) - Weedsport (Rte 34) starting 5:33 PM, 09/25/2019 until further notice. [CARS CAD-192680338]",New York State Thruway-State Wide Operations Center - Albany,43.088327,-76.347831
disabled tractor trailer,New York State Department of Transportation Region 3,I-81,Southbound,ramp from Syracuse,Onondaga,NY,2019-09-25 14:33:23,09/25/2019 03:46:23 PM,Disabled tractor trailer on I-81 southbound ramp from Exit 18 - Adams Street; Harrison Street (Syracuse) acceleration lane closed,New York State Department of Transportation Region 3,43.039398,-76.142097
